Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Delivery_Days,Past_Orders,Past_Returns,Past_Return_Rate,Region
ORD00005866,PROD00005866,USER00005866,2023-08-19,1.6941312e+18,Clothing,313.23,1,Size Issue,Returned,20.0,46,Male,City02,Credit Card,Express,14.02,3,4,0,0.0,East
ORD00000168,PROD00000168,USER00000168,2023-09-01,1.6943904e+18,Clothing,368.0,1,Size Issue,Returned,10.0,18,Female,City38,Credit Card,Express,13.05,3,3,1,0.333,North
ORD00002588,PROD00002588,USER00002588,2024-02-16,1.7093376e+18,Electronics,130.96,2,Quality Issue,Returned,15.0,34,Female,City41,Cash on Delivery,Next-Day,28.49,1,3,0,0.0,West
ORD00005905,PROD00005905,USER00005905,2023-05-30,1.6862688e+18,Home,5.26,2,Changed Mind,Returned,10.0,18,Female,City46,Credit Card,Express,65.66,3,5,1,0.2,North
ORD00009529,PROD00009529,USER00009529,2023-10-07,,Electronics,115.78,1,,Not Returned,,65,Female,City45,PayPal,Next-Day,17.0,2,4,1,0.25,North
ORD00006384,PROD00006384,USER00006384,2023-06-30,1.6893792e+18,Beauty,58.87,2,Size Issue,Returned,15.0,64,Female,City13,Credit Card,Standard,37.76,6,6,2,0.333,Central
ORD00007824,PROD00007824,USER00007824,2023-04-06,,Sports,399.86,1,,Not Returned,,20,Male,City21,Wallet,Standard,35.9,6,6,3,0.5,West
ORD00009779,PROD00009779,USER00009779,2024-07-16,,Electronics,210.81,3,,Not Returned,,20,Male,City30,PayPal,Express,52.35,3,5,1,0.2,West
ORD00004629,PROD00004629,USER00004629,2023-08-16,,Toys,276.78,4,,Not Returned,,44,Female,City01,Cash on Delivery,Standard,0.0,8,1,0,0.0,North
ORD00008560,PROD00008560,USER00008560,2024-04-15,,Home,390.43,1,,Not Returned,,20,Male,City18,PayPal,Next-Day,0.0,2,4,0,0.0,South
ORD00009291,PROD00009291,USER00009291,2024-07-19,,Toys,417.26,4,,Not Returned,,57,Male,City15,Debit Card,Express,10.04,3,2,0,0.0,North
ORD00006874,PROD00006874,USER00006874,2024-02-24,1.7104608e+18,Clothing,150.27,1,Wrong Item,Returned,20.0,32,Male,City32,Debit Card,Next-Day,8.8,4,4,2,0.5,North
ORD00006521,PROD00006521,USER00006521,2024-01-10,,Automotive,320.74,1,,Not Returned,,53,Male,City17,Credit Card,Express,0.0,4,2,0,0.0,North
ORD00008979,PROD00008979,USER00008979,2023-12-20,1.7038944e+18,Toys,304.38,7,,Returned,10.0,32,Female,City28,Credit Card,Next-Day,0.0,2,4,3,0.75,North
ORD00006647,PROD00006647,USER00006647,2024-07-18,1.7229888e+18,Clothing,432.74,1,Other,Returned,20.0,20,Female,City42,Wallet,Next-Day,14.08,3,9,3,0.333,South
ORD00009825,PROD00009825,USER00009825,2024-09-14,,Home,136.48,5,,Not Returned,,44,Female,City14,PayPal,Standard,0.0,5,5,0,0.0,West
ORD00000210,PROD00000210,USER00000210,2023-06-22,,Grocery,382.07,3,,Not Returned,,54,Female,City09,PayPal,Express,0.0,3,6,1,0.167,East
ORD00005278,PROD00005278,USER00005278,2023-05-17,,Toys,472.41,4,,Not Returned,,54,Female,City02,Credit Card,Next-Day,6.11,1,3,2,0.667,North
ORD00001919,PROD00001919,USER00001919,2023-05-20,,Home,113.93,3,,Not Returned,,32,Male,City21,Debit Card,Express,0.0,3,3,1,0.333,North
ORD00000718,PROD00000718,USER00000718,2024-03-30,,Electronics,412.65,2,,Not Returned,,24,Female,City18,Cash on Delivery,Next-Day,33.81,3,7,0,0.0,South
ORD00004868,PROD00004868,USER00004868,2024-08-22,,Automotive,150.74,3,,Not Returned,,67,Male,City30,Credit Card,Express,16.81,4,8,2,0.25,East
ORD00007834,PROD00007834,USER00007834,2024-03-04,1.7108064e+18,Electronics,533.62,5,Damaged,Returned,15.0,67,Female,City17,Wallet,Express,0.0,5,3,0,0.0,South
ORD00001298,PROD00001298,USER00001298,2024-08-09,1.7240256e+18,Beauty,173.61,7,Late Delivery,Returned,10.0,55,Male,City24,Credit Card,Standard,68.33,5,6,0,0.0,West
ORD00009193,PROD00009193,USER00009193,2023-01-20,,Home,109.21,3,,Not Returned,,45,Female,City46,Credit Card,Next-Day,0.0,3,5,1,0.2,West
ORD00004617,PROD00004617,USER00004617,2023-11-27,,Beauty,124.49,1,,Not Returned,,25,Male,City03,Credit Card,Standard,0.0,6,4,0,0.0,North
ORD00003128,PROD00003128,USER00003128,2023-09-11,1.6949088e+18,Sports,189.11,1,Other,Returned,6.0,32,Male,City49,Cash on Delivery,Standard,45.15,8,3,0,0.0,West
ORD00009795,PROD00009795,USER00009795,2023-04-29,,Electronics,164.75,2,,Not Returned,,25,Female,City16,Credit Card,Next-Day,0.0,2,2,0,0.0,West
ORD00003979,PROD00003979,USER00003979,2023-09-24,1.6972416e+18,Electronics,455.01,1,Damaged,Returned,20.0,23,Male,City19,Credit Card,Standard,0.0,8,2,1,0.5,North
ORD00009924,PROD00009924,USER00009924,2024-08-12,1.7238528e+18,Clothing,211.28,2,,Returned,5.0,30,Female,City14,Cash on Delivery,Express,7.73,3,3,0,0.0,East
ORD00008317,PROD00008317,USER00008317,2023-09-01,1.6943904e+18,Beauty,456.58,1,Changed Mind,Returned,10.0,55,Female,City24,Debit Card,Next-Day,0.0,1,3,0,0.0,West
ORD00004393,PROD00004393,USER00004393,2023-04-01,1.6820352e+18,Toys,64.28,2,Late Delivery,Returned,20.0,53,Female,City33,PayPal,Standard,13.07,5,5,1,0.2,North
ORD00001287,PROD00001287,USER00001287,2024-05-25,,Electronics,479.47,6,,Not Returned,,31,Male,City01,Credit Card,Express,15.18,4,8,0,0.0,North
ORD00004355,PROD00004355,USER00004355,2024-09-15,,Electronics,192.85,3,,Not Returned,,27,Male,City07,Credit Card,Standard,22.05,5,1,0,0.0,West
ORD00007013,PROD00007013,USER00007013,2023-01-26,,Automotive,89.44,10,,Not Returned,,55,Male,City03,PayPal,Standard,24.56,7,5,1,0.2,North
ORD00003885,PROD00003885,USER00003885,2023-04-02,,Toys,254.78,1,,Not Returned,,25,Female,City17,Credit Card,Standard,22.84,7,4,0,0.0,West
ORD00005749,PROD00005749,USER00005749,2024-01-10,,Beauty,225.26,1,,Not Returned,,53,Male,City08,Credit Card,Express,0.0,4,1,0,0.0,North
ORD00009169,PROD00009169,USER00009169,2024-12-03,1.734912e+18,Clothing,96.76,1,Wrong Item,Returned,20.0,19,Female,City43,Credit Card,Next-Day,13.91,1,5,0,0.0,Central
ORD00002407,PROD00002407,USER00002407,2024-09-01,1.7264448e+18,Accessories,298.29,5,Wrong Item,Returned,15.0,33,Male,City37,PayPal,Express,13.97,3,5,1,0.2,East
ORD00002013,PROD00002013,USER00002013,2024-09-27,,Clothing,315.99,5,,Not Returned,,34,Female,City30,Credit Card,Express,44.19,4,9,3,0.333,North
ORD00005153,PROD00005153,USER00005153,2024-10-10,1.7302464e+18,Clothing,325.46,2,Quality Issue,Returned,20.0,26,Male,City09,Credit Card,Standard,28.09,5,3,1,0.333,South
ORD00008551,PROD00008551,USER00008551,2024-03-12,,Electronics,122.67,8,,Not Returned,,23,Male,City24,Wallet,Next-Day,24.29,3,4,1,0.25,West
ORD00004376,PROD00004376,USER00004376,2023-09-16,,Electronics,326.06,1,,Not Returned,,31,Male,City08,Credit Card,Express,0.0,3,1,0,0.0,West
ORD00008822,PROD00008822,USER00008822,2024-10-01,,Automotive,47.33,1,,Not Returned,,66,Female,City21,Credit Card,Next-Day,0.0,5,6,1,0.167,North
ORD00004273,PROD00004273,USER00004273,2024-07-09,1.7213472e+18,Electronics,472.93,4,Damaged,Returned,10.0,44,Female,City49,Credit Card,Standard,0.0,6,1,1,1.0,East
ORD00005825,PROD00005825,USER00005825,2024-03-15,1.7108928e+18,Beauty,528.23,2,Size Issue,Returned,5.0,45,Male,City23,Credit Card,Next-Day,19.29,3,5,0,0.0,West
ORD00006699,PROD00006699,USER00006699,2024-09-28,1.7279136e+18,Beauty,140.28,1,Size Issue,Returned,5.0,18,Male,City16,Credit Card,Next-Day,15.24,1,2,0,0.0,Central
ORD00007243,PROD00007243,USER00007243,2023-10-31,,Toys,208.27,7,,Not Returned,,54,Female,City30,PayPal,Next-Day,12.02,1,1,0,0.0,West
ORD00000449,PROD00000449,USER00000449,2024-06-28,,Home,447.6,2,,Not Returned,,54,Male,City22,Credit Card,Next-Day,21.45,1,6,1,0.167,East
ORD00002227,PROD00002227,USER00002227,2023-01-06,,Electronics,83.01,2,,Not Returned,,34,Female,City15,Wallet,Next-Day,38.16,4,4,1,0.25,West
ORD00005756,PROD00005756,USER00005756,2024-01-11,1.7057952e+18,Clothing,334.13,2,Wrong Item,Returned,10.0,31,Female,City12,Wallet,Standard,26.32,5,3,1,0.333,East
ORD00000810,PROD00000810,USER00000810,2024-06-12,,Clothing,409.0,4,,Not Returned,,43,Male,City10,Cash on Delivery,Standard,10.7,5,3,0,0.0,South
ORD00004180,PROD00004180,USER00004180,2023-05-01,,Beauty,359.72,3,,Not Returned,,56,Male,City33,Credit Card,Express,21.82,3,6,2,0.333,Central
ORD00009000,PROD00009000,USER00009000,2024-04-05,,Sports,535.41,1,,Not Returned,,32,Female,City23,Credit Card,Express,17.67,7,4,0,0.0,South
ORD00005438,PROD00005438,USER00005438,2024-10-29,1.7315424e+18,Clothing,367.81,3,Late Delivery,Returned,16.0,32,Male,City26,PayPal,Standard,20.23,7,5,1,0.2,West
ORD00007533,PROD00007533,USER00007533,2024-07-27,1.7224704e+18,Toys,401.78,2,Changed Mind,Returned,5.0,45,Male,City17,Wallet,Next-Day,0.0,4,6,0,0.0,South
ORD00006369,PROD00006369,USER00006369,2024-04-26,,Grocery,468.67,1,,Not Returned,,43,Female,City44,Credit Card,Standard,0.0,8,4,0,0.0,East
ORD00008416,PROD00008416,USER00008416,2024-09-22,1.7282592e+18,Accessories,481.69,1,,Returned,15.0,55,Female,City50,Debit Card,Express,8.84,3,7,2,0.286,West
ORD00001477,PROD00001477,USER00001477,2024-05-17,1.7172e+18,Electronics,413.76,2,Damaged,Returned,15.0,31,Male,City22,Debit Card,Next-Day,0.0,3,5,1,0.2,South
ORD00001790,PROD00001790,USER00001790,2023-05-08,1.683936e+18,Electronics,448.83,2,Other,Returned,5.0,18,Male,City16,Credit Card,Express,0.0,3,4,1,0.25,South
ORD00002008,PROD00002008,USER00002008,2023-07-14,1.6910208e+18,Home,184.58,4,Wrong Item,Returned,20.0,19,Female,City29,Credit Card,Standard,64.53,6,4,0,0.0,North
ORD00000682,PROD00000682,USER00000682,2023-05-15,1.6854048e+18,Clothing,354.07,8,Size Issue,Returned,15.0,47,Male,City11,Credit Card,Express,8.0,4,7,2,0.286,South
ORD00002816,PROD00002816,USER00002816,2023-03-03,,Clothing,454.62,1,,Not Returned,,46,Male,City06,PayPal,Next-Day,21.5,1,0,0,0.0,North
ORD00009431,PROD00009431,USER00009431,2024-02-18,,Toys,181.96,1,,Not Returned,,30,Male,City19,Credit Card,Standard,0.0,5,3,0,0.0,West
ORD00003774,PROD00003774,USER00003774,2023-03-21,,Sports,77.54,1,,Not Returned,,32,Male,City16,Credit Card,Express,0.0,3,3,2,0.667,South
ORD00006495,PROD00006495,USER00006495,2023-05-15,1.6845408e+18,Books,97.77,6,Quality Issue,Returned,5.0,57,Female,City28,PayPal,Next-Day,0.0,2,1,1,1.0,West
ORD00008878,PROD00008878,USER00008878,2023-03-30,,Electronics,55.26,1,,Not Returned,,64,Male,City23,Cash on Delivery,Standard,0.0,7,3,0,0.0,South
ORD00007361,PROD00007361,USER00007361,2024-08-15,1.724976e+18,Sports,94.07,2,Damaged,Returned,15.0,33,Male,City07,Credit Card,Express,51.56,5,2,0,0.0,East
ORD00008366,PROD00008366,USER00008366,2024-04-01,,Clothing,238.55,6,,Not Returned,,44,Female,City31,Debit Card,Standard,9.98,5,0,0,0.0,North
ORD00007474,PROD00007474,USER00007474,2023-06-15,,Accessories,315.16,2,,Not Returned,,32,Female,City21,Wallet,Standard,6.24,5,0,0,0.0,South
ORD00000046,PROD00000046,USER00000046,2023-05-22,,Grocery,85.52,3,,Not Returned,,45,Female,City28,Credit Card,Next-Day,7.09,3,7,2,0.286,Central
ORD00000030,PROD00000030,USER00000030,2023-05-02,1.6841088e+18,Clothing,365.28,2,Wrong Item,Returned,13.0,45,Male,City27,Wallet,Standard,12.32,9,6,0,0.0,West
ORD00008250,PROD00008250,USER00008250,2024-02-25,,Toys,108.51,3,,Not Returned,,46,Female,City25,Wallet,Next-Day,19.75,1,1,0,0.0,Central
ORD00006935,PROD00006935,USER00006935,2023-05-17,1.685232e+18,Clothing,157.34,2,Damaged,Returned,11.0,54,Male,City43,Credit Card,Express,7.06,7,2,1,0.5,Central
ORD00001468,PROD00001468,USER00001468,2023-08-15,1.6937856e+18,Clothing,211.83,1,Changed Mind,Returned,20.0,56,Male,City02,Credit Card,Standard,5.16,5,1,0,0.0,South
ORD00001665,PROD00001665,USER00001665,2023-10-29,,Sports,38.74,2,,Not Returned,,64,Female,City06,Debit Card,Next-Day,21.12,2,5,0,0.0,North
ORD00001416,PROD00001416,USER00001416,2023-03-01,1.6797024e+18,Grocery,289.4,6,Size Issue,Returned,24.0,33,Male,City29,PayPal,Express,49.91,7,6,2,0.333,West
ORD00006480,PROD00006480,USER00006480,2024-09-20,1.7280864e+18,Clothing,4.51,1,Quality Issue,Returned,15.0,19,Female,City09,Credit Card,Standard,18.42,5,7,0,0.0,South
ORD00004852,PROD00004852,USER00004852,2024-11-29,,Electronics,398.33,1,,Not Returned,,53,Male,City24,Cash on Delivery,Express,11.33,4,3,0,0.0,North
ORD00002470,PROD00002470,USER00002470,2023-10-04,1.6968096e+18,Clothing,220.48,3,Size Issue,Returned,5.0,34,Female,City08,Debit Card,Standard,70.0,7,1,0,0.0,South
ORD00004373,PROD00004373,USER00004373,2024-09-15,1.7273952e+18,Electronics,349.17,5,Wrong Item,Returned,12.0,34,Female,City40,Credit Card,Standard,62.29,7,3,2,0.667,North
ORD00008524,PROD00008524,USER00008524,2023-12-16,,Grocery,269.76,4,,Not Returned,,25,Male,City04,Credit Card,Express,0.0,4,0,0,0.0,North
ORD00000429,PROD00000429,USER00000429,2023-06-06,1.6864416e+18,Beauty,194.03,3,Damaged,Returned,5.0,33,Female,City23,Credit Card,Next-Day,31.86,2,3,0,0.0,South
ORD00005244,PROD00005244,USER00005244,2024-11-07,1.7326656e+18,Clothing,264.17,4,Wrong Item,Returned,20.0,24,Male,City07,Wallet,Standard,17.76,6,5,1,0.2,East
ORD00002119,PROD00002119,USER00002119,2024-05-30,1.7183232e+18,Clothing,62.93,1,Quality Issue,Returned,15.0,19,Male,City46,Wallet,Standard,9.61,7,6,4,0.667,East
ORD00000385,PROD00000385,USER00000385,2023-05-21,1.6850592e+18,Electronics,180.76,1,Damaged,Returned,5.0,23,Male,City13,Credit Card,Express,7.62,3,1,1,1.0,North
ORD00001945,PROD00001945,USER00001945,2023-01-08,1.674e+18,Accessories,421.76,10,Other,Returned,10.0,18,Male,City20,Debit Card,Next-Day,15.87,2,8,0,0.0,North
ORD00004224,PROD00004224,USER00004224,2024-02-06,1.7089056e+18,Automotive,40.15,1,Wrong Item,Returned,20.0,56,Female,City14,Credit Card,Next-Day,49.87,3,3,1,0.333,North
ORD00000473,PROD00000473,USER00000473,2024-08-09,,Home,454.13,2,,Not Returned,,32,Male,City19,Debit Card,Express,0.0,3,7,3,0.429,East
ORD00002129,PROD00002129,USER00002129,2023-07-03,,Books,391.25,6,,Not Returned,,31,Male,City15,Cash on Delivery,Next-Day,0.0,5,5,2,0.4,East
ORD00006556,PROD00006556,USER00006556,2024-01-26,1.7075232e+18,Electronics,510.39,1,Changed Mind,Returned,15.0,43,Male,City25,Cash on Delivery,Next-Day,31.65,1,3,1,0.333,East
ORD00006998,PROD00006998,USER00006998,2024-01-06,,Grocery,264.64,1,,Not Returned,,25,Male,City05,Credit Card,Express,9.85,3,1,0,0.0,East
ORD00001055,PROD00001055,USER00001055,2023-06-01,,Sports,283.51,1,,Not Returned,,34,Female,City02,Debit Card,Next-Day,22.94,2,6,1,0.167,North
ORD00003274,PROD00003274,USER00003274,2024-10-29,,Electronics,130.14,1,,Not Returned,,44,Male,City22,Debit Card,Next-Day,0.0,4,2,0,0.0,West
ORD00004961,PROD00004961,USER00004961,2023-10-26,,Clothing,363.43,3,,Not Returned,,55,Male,City11,Wallet,Standard,9.76,5,4,0,0.0,East
ORD00005363,PROD00005363,USER00005363,2024-07-25,1.7227296e+18,Clothing,114.86,3,Size Issue,Returned,10.0,67,Male,City06,PayPal,Express,7.83,3,4,0,0.0,Central
ORD00005816,PROD00005816,USER00005816,2024-02-13,,Electronics,327.16,7,,Not Returned,,55,Male,City23,Wallet,Next-Day,0.0,1,2,0,0.0,North
ORD00000811,PROD00000811,USER00000811,2024-10-31,,Toys,48.4,2,,Not Returned,,47,Female,City20,Debit Card,Next-Day,7.14,1,5,1,0.2,East
ORD00004573,PROD00004573,USER00004573,2024-10-06,,Home,180.55,5,,Not Returned,,27,Male,City03,Credit Card,Next-Day,10.15,2,6,1,0.167,South
ORD00006137,PROD00006137,USER00006137,2024-03-14,1.7119296e+18,Sports,188.7,6,Late Delivery,Returned,18.0,46,Female,City20,Debit Card,Standard,0.0,8,5,4,0.8,North
ORD00002388,PROD00002388,USER00002388,2023-07-28,,Accessories,242.28,2,,Not Returned,,47,Male,City05,Credit Card,Standard,27.17,5,4,0,0.0,East
ORD00009648,PROD00009648,USER00009648,2023-10-05,,Automotive,369.69,1,,Not Returned,,34,Female,City41,PayPal,Express,0.0,4,8,2,0.25,East
ORD00006225,PROD00006225,USER00006225,2023-06-15,1.6885152e+18,Clothing,47.06,1,Quality Issue,Returned,20.0,56,Male,City46,Cash on Delivery,Next-Day,50.76,2,7,3,0.429,North
ORD00000111,PROD00000111,USER00000111,2024-08-03,1.7252352e+18,Clothing,272.53,1,Wrong Item,Returned,30.0,46,Female,City47,Credit Card,Express,6.4,5,1,1,1.0,North
ORD00008909,PROD00008909,USER00008909,2023-10-11,,Automotive,101.07,2,,Not Returned,,45,Male,City14,Credit Card,Express,0.0,3,4,0,0.0,East
ORD00001745,PROD00001745,USER00001745,2024-05-06,,Toys,221.8,2,,Not Returned,,57,Female,City18,Credit Card,Standard,0.0,7,7,1,0.143,North
ORD00007851,PROD00007851,USER00007851,2024-07-11,,Clothing,153.59,2,,Not Returned,,65,Male,City04,PayPal,Next-Day,10.34,3,3,1,0.333,East
ORD00001452,PROD00001452,USER00001452,2024-03-14,,Clothing,147.03,2,,Not Returned,,30,Female,City17,Debit Card,Express,22.23,3,7,3,0.429,Central
ORD00000319,PROD00000319,USER00000319,2023-11-10,,Sports,152.15,1,,Not Returned,,66,Female,City14,Credit Card,Next-Day,12.85,1,4,0,0.0,South
ORD00008593,PROD00008593,USER00008593,2023-07-12,1.689984e+18,Toys,271.38,2,Quality Issue,Returned,10.0,32,Male,City27,Credit Card,Express,23.88,3,5,0,0.0,West
ORD00003333,PROD00003333,USER00003333,2024-01-11,,Electronics,490.05,1,,Not Returned,,67,Male,City29,PayPal,Next-Day,5.97,1,1,0,0.0,West
ORD00001922,PROD00001922,USER00001922,2024-07-30,1.7227296e+18,Electronics,117.17,3,Changed Mind,Returned,5.0,67,Female,City29,Credit Card,Standard,0.0,5,5,1,0.2,East
ORD00005865,PROD00005865,USER00005865,2023-05-20,1.6854048e+18,Sports,399.58,1,Other,Returned,10.0,55,Male,City41,Credit Card,Standard,24.66,7,3,0,0.0,North
ORD00009528,PROD00009528,USER00009528,2024-03-06,,Home,392.03,1,,Not Returned,,23,Female,City21,Wallet,Next-Day,41.23,3,4,1,0.25,East
ORD00003685,PROD00003685,USER00003685,2023-08-18,,Clothing,319.92,2,,Not Returned,,63,Female,City28,Cash on Delivery,Express,23.83,4,2,1,0.5,East
ORD00004275,PROD00004275,USER00004275,2024-02-17,,Electronics,101.47,2,,Not Returned,,56,Male,City18,Wallet,Standard,0.0,7,6,1,0.167,South
ORD00004889,PROD00004889,USER00004889,2023-02-08,1.6769376e+18,Beauty,96.83,5,Size Issue,Returned,13.0,45,Female,City03,Credit Card,Standard,0.0,8,1,1,1.0,Central
ORD00005225,PROD00005225,USER00005225,2023-04-23,,Home,507.36,1,,Not Returned,,65,Male,City30,Credit Card,Standard,0.0,6,1,0,0.0,North
ORD00007472,PROD00007472,USER00007472,2024-02-03,,Home,493.2,1,,Not Returned,,24,Female,City30,Wallet,Express,50.97,6,6,1,0.167,East
ORD00003605,PROD00003605,USER00003605,2023-06-24,,Clothing,491.69,1,,Not Returned,,18,Female,City02,Cash on Delivery,Standard,19.77,5,1,0,0.0,South
ORD00001052,PROD00001052,USER00001052,2023-11-23,,Clothing,259.75,2,,Not Returned,,45,Female,City36,Cash on Delivery,Next-Day,8.36,1,10,1,0.1,South
ORD00004156,PROD00004156,USER00004156,2024-11-13,,Beauty,49.08,1,,Not Returned,,19,Male,City15,Debit Card,Express,23.65,3,4,0,0.0,North
ORD00009676,PROD00009676,USER00009676,2024-06-17,,Grocery,477.81,1,,Not Returned,,34,Male,City24,Credit Card,Express,55.45,5,1,0,0.0,West
ORD00000099,PROD00000099,USER00000099,2023-12-07,1.7036352e+18,Clothing,5.28,2,Damaged,Returned,20.0,30,Male,City01,PayPal,Next-Day,14.23,1,5,1,0.2,North
ORD00007508,PROD00007508,USER00007508,2024-07-27,,Sports,115.67,3,,Not Returned,,56,Male,City17,Cash on Delivery,Express,0.0,5,2,1,0.5,Central
ORD00001456,PROD00001456,USER00001456,2024-09-19,1.728e+18,Clothing,198.88,2,Size Issue,Returned,15.0,20,Male,City08,Credit Card,Next-Day,10.78,2,3,0,0.0,North
ORD00007688,PROD00007688,USER00007688,2023-09-09,1.6950816e+18,Electronics,101.65,1,Damaged,Returned,10.0,18,Female,City34,Credit Card,Express,8.83,3,6,1,0.167,West
ORD00004004,PROD00004004,USER00004004,2024-09-04,1.727136e+18,Electronics,507.13,1,Wrong Item,Returned,20.0,34,Female,City12,Credit Card,Standard,0.0,7,3,1,0.333,South
ORD00006866,PROD00006866,USER00006866,2023-11-01,,Electronics,148.33,1,,Not Returned,,25,Male,City09,Cash on Delivery,Standard,0.0,5,3,0,0.0,West
ORD00004509,PROD00004509,USER00004509,2024-11-14,1.7324064e+18,Toys,64.95,4,Damaged,Returned,10.0,20,Male,City20,Credit Card,Express,51.86,7,6,1,0.167,East
ORD00003299,PROD00003299,USER00003299,2024-04-13,,Sports,210.57,3,,Not Returned,,57,Male,City13,Credit Card,Standard,8.13,7,3,0,0.0,East
ORD00003799,PROD00003799,USER00003799,2023-12-12,,Automotive,286.77,2,,Not Returned,,43,Male,City29,Credit Card,Express,0.0,3,6,3,0.5,East
ORD00004281,PROD00004281,USER00004281,2023-02-14,1.6776288e+18,Home,114.0,1,Quality Issue,Returned,15.0,34,Male,City01,Debit Card,Standard,41.6,6,3,1,0.333,South
ORD00009051,PROD00009051,USER00009051,2024-09-28,,Beauty,417.32,3,,Not Returned,,32,Female,City22,PayPal,Next-Day,64.66,2,7,2,0.286,East
ORD00006462,PROD00006462,USER00006462,2024-12-17,,Books,123.42,6,,Not Returned,,44,Male,City27,PayPal,Next-Day,16.75,1,10,2,0.2,West
ORD00007912,PROD00007912,USER00007912,2023-12-29,,Electronics,380.75,1,,Not Returned,,44,Male,City17,Debit Card,Next-Day,56.04,3,2,0,0.0,West
ORD00001414,PROD00001414,USER00001414,2024-08-01,1.7237664e+18,Books,109.68,6,Size Issue,Returned,15.0,45,Female,City11,Credit Card,Express,65.85,3,1,0,0.0,West
ORD00000540,PROD00000540,USER00000540,2024-03-15,,Toys,384.18,2,,Not Returned,,46,Male,City11,Debit Card,Next-Day,0.0,1,6,2,0.333,West
ORD00005815,PROD00005815,USER00005815,2024-03-26,,Toys,228.87,1,,Not Returned,,30,Female,City01,Wallet,Standard,0.0,8,9,1,0.111,South
ORD00008199,PROD00008199,USER00008199,2024-09-20,,Books,174.59,3,,Not Returned,,20,Female,City02,Credit Card,Next-Day,0.0,2,5,1,0.2,Central
ORD00003680,PROD00003680,USER00003680,2024-10-16,,Accessories,44.02,3,,Not Returned,,56,Female,City26,Credit Card,Express,14.08,7,5,3,0.6,North
ORD00000754,PROD00000754,USER00000754,2024-07-31,,Automotive,443.68,2,,Not Returned,,45,Female,City04,Debit Card,Standard,9.05,8,3,0,0.0,North
ORD00004196,PROD00004196,USER00004196,2023-05-14,1.6866144e+18,Books,289.69,1,Changed Mind,Returned,30.0,32,Female,City32,Debit Card,Express,20.44,3,10,2,0.2,West
ORD00002650,PROD00002650,USER00002650,2023-12-23,,Clothing,138.66,3,,Not Returned,,34,Male,City40,Credit Card,Standard,9.06,5,1,0,0.0,East
ORD00004522,PROD00004522,USER00004522,2024-03-27,,Sports,180.6,3,,Not Returned,,55,Female,City10,Credit Card,Express,0.0,6,2,0,0.0,South
ORD00009519,PROD00009519,USER00009519,2024-04-30,,Books,351.34,2,,Not Returned,,57,Male,City24,Wallet,Express,0.0,3,5,0,0.0,East
ORD00003118,PROD00003118,USER00003118,2024-12-21,,Clothing,359.17,2,,Not Returned,,30,Male,City29,Credit Card,Express,63.27,3,3,0,0.0,South
ORD00003728,PROD00003728,USER00003728,2023-08-13,,Beauty,176.05,2,,Not Returned,,54,Male,City34,Credit Card,Express,0.0,6,6,1,0.167,East
ORD00003886,PROD00003886,USER00003886,2024-12-15,,Toys,449.08,2,,Not Returned,,43,Female,City23,Debit Card,Next-Day,0.0,4,3,0,0.0,Central
